Time(s),KS_voltage(V),Pressure_voltage(V)
0.148,1.5172551651,0.20712352
0.149,1.53883181381,0.20712352
0.15,1.49137241745,0.20712352
0.151,1.5172551651,0.20712352
0.152,1.52588274956,0.20712352
0.153,1.53020423126,0.20712352
0.154,1.5043061018,0.20712352
0.155,1.5172551651,0.20712352
0.156,1.55610235977,0.20712352
0.157,1.53020423126,0.20712352
0.158,1.52588274956,0.20712352
0.159,1.5,0.20712352
0.16,1.55178087616,0.20712352
0.161,1.53020423126,0.20712352
0.162,1.53883181381,0.20712352
0.163,1.52588274956,0.20712352
0.164,1.54745940018,0.20712352
0.165,1.55178087616,0.20712352
0.166,1.5043061018,0.20712352
0.167,1.5172551651,0.20712352
0.168,1.52588274956,0.20712352
0.169,1.54315329361,0.20712352
0.17,1.5043061018,0.20712352
0.171,1.50862758255,0.20712352
0.172,1.52588274956,0.20712352
0.173,1.54745940018,0.20712352
0.174,1.5,0.20712352
0.175,1.50862758255,0.20712352
0.176,1.54745940018,0.20712352
0.177,1.5129336853,0.20712352
0.178,1.5129336853,0.20712352
0.179,1.5043061018,0.20712352
0.18,1.54315329361,0.20712352
0.181,1.5215766468,0.20712352
0.182,1.52588274956,0.20712352
0.183,1.5,0.20712352
0.184,1.52588274956,0.20712352
0.185,1.53020423126,0.20712352
0.186,1.4827448349,0.20712352
0.187,1.5,0.20712352
0.188,1.5,0.20712352
0.189,1.5,0.20712352
0.19,1.46116818619,0.20712352
0.191,1.46979576874,0.20712352
0.192,1.46979576874,0.20712352
0.193,1.47411725044,0.20712352
0.194,1.46116818619,0.20712352
0.195,1.44389764023,0.20712352
0.196,1.49137241745,0.20712352
0.197,1.46116818619,0.20712352
0.19799999,1.45684670639,0.20712352
0.19899999,1.44389764023,0.20712352
0.19999999,1.49137241745,0.20712352
0.20099999,1.4784233532,0.20712352
0.20199999,1.46979576874,0.20712352
0.20299999,1.45254059982,0.20712352
0.20399999,1.49137241745,0.20712352
0.20499999,1.47411725044,0.20712352
0.20599999,1.43094857788,0.20712352
0.20699999,1.45684670639,0.20712352
0.20799999,1.45684670639,0.20712352
0.20899999,1.46547428894,0.20712352
0.20999999,1.43527005768,0.20712352
0.21099999,1.44821912384,0.20712352
0.21199999,1.45254059982,0.20712352
0.21299999,1.46116818619,0.1898376
0.21399999,1.43959153748,0.20712352
0.21499999,1.46116818619,0.20712352
0.21599999,1.5172551651,0.20712352
0.21699999,1.4784233532,0.20712352
0.21799999,1.46979576874,0.20712352
0.21899999,1.46116818619,0.20712352
0.21999999,1.5,0.20712352
0.22099999,1.49137241745,0.20712352
0.22199999,1.47411725044,0.20712352
0.22299999,1.4827448349,0.20712352
0.22399999,1.50862758255,0.20712352
0.22499999,1.5043061018,0.20712352
0.22599999,1.46116818619,0.1898376
0.22699999,1.49137241745,0.20712352
0.22799999,1.4956938982,0.20712352
0.22899999,1.50862758255,0.20712352
0.22999999,1.47411725044,0.20712352
0.23099999,1.4870663147,0.20712352
0.23199999,1.5043061018,0.20712352
0.23299999,1.52588274956,0.20712352
0.23399999,1.50862758255,0.20712352
0.23499999,1.49137241745,0.20712352
0.23599999,1.53452571106,0.20712352
0.23699999,1.50862758255,0.20712352
0.23799999,1.5215766468,0.20712352
0.23899999,1.5129336853,0.20712352
0.23999999,1.53452571106,0.20712352
0.24099999,1.53883181381,0.20712352
0.24199999,1.5129336853,0.20712352
0.24299999,1.5172551651,0.20712352
0.24399999,1.55178087616,0.20712352
0.24499999,1.55178087616,0.20712352
0.24599999,1.5043061018,0.20712352
0.24699999,1.52588274956,0.20712352
0.24799999,1.53883181381,0.20712352
0.24899999,1.54745940018,0.20712352
0.24999999,1.5172551651,0.20712352
0.25099999,1.53883181381,0.20712352
0.25199999,1.53883181381,0.20712352
0.25299999,1.53020423126,0.20712352
0.25399999,1.54745940018,0.20712352
0.25499999,1.55610235977,0.20712352
0.25599999,1.57767900085,0.20712352
0.25699999,1.54315329361,0.20712352
0.25799999,1.54745940018,0.20712352
0.25899999,1.5215766468,0.20712352
0.25999999,1.56472994232,0.20712352
0.26099999,1.55610235977,0.20712352
0.26199999,1.54315329361,0.20712352
0.26299999,1.54315329361,0.20712352
0.26399999,1.55178087616,0.20712352
0.26499999,1.55178087616,0.20712352
0.26599999,1.5,0.20712352
0.26699999,1.54745940018,0.20712352
0.26799999,1.53020423126,0.20712352
0.26899999,1.53452571106,0.20712352
0.26999999,1.4956938982,0.20712352
0.27099999,1.5129336853,0.20712352
0.27199999,1.5172551651,0.20712352
0.27299999,1.5043061018,0.20712352
0.27399999,1.49137241745,0.20712352
0.27499999,1.5,0.20712352
0.27599999,1.53883181381,0.20712352
0.27699999,1.5129336853,0.20712352
0.27799999,1.5,0.20712352
0.27899999,1.46979576874,0.20712352
0.27999999,1.5043061018,0.20712352
0.28099999,1.4870663147,0.20712352
0.28199999,1.47411725044,0.20712352
0.28299999,1.4784233532,0.20712352
0.28399999,1.49137241745,0.20712352
0.28499999,1.5,0.20712352
0.28599999,1.43527005768,0.20712352
0.28699999,1.46979576874,0.20712352
0.28799999,1.46979576874,0.20712352
0.28899999,1.4827448349,0.20712352
0.28999999,1.45254059982,0.20712352
0.29099999,1.45684670639,0.20712352
0.29199999,1.46547428894,0.20712352
0.29299999,1.4827448349,0.20712352
0.29399999,1.46547428894,0.20712352
0.29499999,1.44821912384,0.20712352
0.29599999,1.4827448349,0.20712352
0.29699999,1.4784233532,0.20712352
0.29799999,1.46979576874,0.20712352
0.29899999,1.46979576874,0.20712352
0.29999999,1.5043061018,0.20712352
0.30099999,1.4870663147,0.20712352
0.30199999,1.47411725044,0.20712352
0.30299999,1.4827448349,0.20712352
0.30399999,1.4956938982,0.20712352
0.30499999,1.4956938982,0.20712352
0.30599999,1.43959153748,0.20712352
0.30699999,1.46979576874,0.20712352
